Crop,Year,Province,Seeded Area,Harvested Area,Yield,Production
CW Soft White Spring,2023,Alberta,74.2,63.4,4.4,278.6
Other Spring Wheat,2014,Alberta,36.4,36.4,4.7,171.5
Other Spring Wheat,2015,Alberta,20.2,18.2,4.4,80.3
Other Spring Wheat,2016,Alberta,20.2,16.2,3.9,62.6
Other Spring Wheat,2017,Alberta,29.5,26.3,4.7,122.5
Other Spring Wheat,2018,Alberta,30.4,28.3,4.3,120.7
Other Spring Wheat,2019,Alberta,15,14,3.4,47.6
Other Spring Wheat,2020,Alberta,33.9,31.4,3.9,123.3
Other Spring Wheat,2021,Alberta,42,40.3,3.8,153.8
Other Spring Wheat,2022,Alberta,28.6,27.6,2.6,72
Other Spring Wheat,2023,Alberta,32.4,32.3,3.8,123.4
Durum,2014,Alberta,250.9,248.9,3.5,870.9
Durum,2015,Alberta,234.7,230.7,3.1,707.6
Durum,2016,Alberta,360.2,352.1,2.3,816.5
Durum,2017,Alberta,445.8,439.1,3.6,1583.9
Durum,2018,Alberta,441.1,439.1,2.5,1083.2
Durum,2019,Alberta,479.5,473.7,2.4,1134.1
Durum,2020,Alberta,313.6,300.5,2.2,647.3
Durum,2021,Alberta,409.5,406.3,3.3,1324.7
Durum,2022,Alberta,419.7,390.3,1.5,598.9
Durum,2023,Alberta,439.8,434.3,2.8,1194.5
Oats,2014,Alberta,234.7,165.9,3.6,601.5
Oats,2015,Alberta,271.1,184.1,2.9,542.9
Oats,2016,Alberta,293.4,145.7,2.7,393.3
Oats,2017,Alberta,332.7,174,3.6,624.6
Oats,2018,Alberta,279.2,172,3.5,609.2
Oats,2019,Alberta,321.8,207.2,3.4,700.1
Oats,2020,Alberta,363.9,234,3.6,834.8
Oats,2021,Alberta,356.6,245,3.3,802
Oats,2022,Alberta,357.7,244.5,2.2,546.7
Oats,2023,Alberta,381.8,304.6,3.5,1054.7
Barley,2014,Alberta,1497.3,1363.8,4.1,5545.4
Barley,2015,Alberta,1315.2,1157.4,3.6,4131.3
Barley,2016,Alberta,1416.4,1167.5,3.7,4289.2
Barley,2017,Alberta,1381.6,1076.5,4.1,4398
Barley,2018,Alberta,1153.4,1011.7,3.9,3906
Barley,2019,Alberta,1260.2,1111.6,3.6,3996.3
Barley,2020,Alberta,1441.9,1272.7,3.9,4955.2
Barley,2021,Alberta,1481.8,1326.2,4,5283
Barley,2022,Alberta,1598.8,1429.7,2.6,3647.9
Barley,2023,Alberta,1437.8,1318.4,4.1,5380.7
Rye,2014,Alberta,16.2,12.1,3,36.3
Rye,2015,Alberta,16.2,12.1,2.6,30.9
Rye,2016,Alberta,18.2,12.1,2.7,33
Rye,2017,Alberta,32.8,21,2.8,59.7
Rye,2018,Alberta,18.2,10.1,3.3,33.5
Rye,2019,Alberta,16,9.1,3.3,30
Rye,2020,Alberta,26.6,7.8,3.4,26.8
Rye,2021,Alberta,41.6,29.2,3.7,107.4
Rye,2022,Alberta,39.5,25.3,3.4,87.1
Rye,2023,Alberta,40.1,25.9,3.5,91.2
Mixed Grains,2014,Alberta,56.7,4.9,2.7,13.3
Mixed Grains,2015,Alberta,56.7,4.9,2.6,12.9
Mixed Grains,2016,Alberta,46.5,4,3.1,12.2
Mixed Grains,2017,Alberta,98,10.1,3,30.6
Mixed Grains,2018,Alberta,54.6,10.1,3.3,33
Mixed Grains,2019,Alberta,72.4,0,0,0
Mixed Grains,2020,Alberta,65.9,8.3,0,0
Mixed Grains,2021,Alberta,69.2,26.9,2.5,68
Mixed Grains,2022,Alberta,94.8,28.2,2.3,64.1
Mixed Grains,2023,Alberta,56.1,21.5,2.8,61
Corn,2014,Alberta,10.1,8.1,8.1,66
Corn,2015,Alberta,20.2,14.2,6.4,91.4
Corn,2016,Alberta,16.2,12.9,6.8,87.6
Corn,2017,Alberta,16.6,12.1,8.1,98
Corn,2018,Alberta,24.3,18.2,8.4,152.9
Corn,2019,Alberta,14.2,13,9.1,118.3
Corn,2020,Alberta,11.8,8.1,7.8,63.3
Corn,2021,Alberta,16.5,12.3,8.8,108.6
Corn,2022,Alberta,19.2,18.1,9,162.1
Corn,2023,Alberta,5.7,5.1,8.6,44
Flaxseed,2014,Alberta,36.4,36.4,2,73.7
Flaxseed,2015,Alberta,54.6,54.6,1.8,98.4
Flaxseed,2016,Alberta,48.6,48.2,1.7,83.8
Flaxseed,2017,Alberta,31.8,29.1,2.1,59.8
Flaxseed,2018,Alberta,34.4,34.4,1.8,62.2
Flaxseed,2019,Alberta,37.1,37.1,1.6,60.5
Flaxseed,2020,Alberta,46.1,43.1,1.9,81.5
Flaxseed,2021,Alberta,39.3,37.8,2.1,78.6
Flaxseed,2022,Alberta,49.9,49,1.1,51.9
Flaxseed,2023,Alberta,52,51.9,1.6,83.2
Canola,2014,Alberta,2565.7,2555.6,2.4,6168.9
Canola,2015,Alberta,2751.9,2739.7,2.1,5796.9
Canola,2016,Alberta,2535.4,2519.2,2.3,5851.3
Canola,2017,Alberta,2495.2,2422,2.5,6157.5
Canola,2018,Alberta,2804.5,2788.3,2.4,6826.6
Canola,2019,Alberta,2755.9,2703,2.2,5870.6
Canola,2020,Alberta,2401.2,2355.6,2.3,5320.1
Canola,2021,Alberta,2377.9,2313.5,2.3,5212.1
Canola,2022,Alberta,2705.7,2678.7,1.6,4341
Canola,2023,Alberta,2639,2620.9,2.1,5591.7
Soybeans,2014,Alberta,0,0,0,0
Soybeans,2015,Alberta,0,0,0,0
Soybeans,2016,Alberta,0,0,0,0
Soybeans,2017,Alberta,0,0,0,0
Soybeans,2018,Alberta,0,0,0,0
Soybeans,2019,Alberta,7.4,6.9,1.7,11.6
Soybeans,2020,Alberta,2.8,2.6,1.9,4.9
Soybeans,2021,Alberta,1,0,0,0
Soybeans,2022,Alberta,0,0,0,0
Soybeans,2023,Alberta,0,0,0,0
Dry Peas,2014,Alberta,420.9,416.7,3.2,1321.3
Dry Peas,2015,Alberta,548.4,540.3,2.7,1475.1
Dry Peas,2016,Alberta,613.1,599,2.2,1314.5
Dry Peas,2017,Alberta,772.7,732.4,3.1,2271.2
Dry Peas,2018,Alberta,728.4,724.3,2.7,1991.5
Dry Peas,2019,Alberta,611.6,598.9,2.7,1608.4
Dry Peas,2020,Alberta,728.5,705.5,2.4,1685.9
Dry Peas,2021,Alberta,667.8,644.4,2.8,1799.1
Dry Peas,2022,Alberta,595.4,579,1.5,894.6
Dry Peas,2023,Alberta,535.7,528,2.9,1555.3
Dry White Beans,2014,Alberta,0,0,0,0
Dry White Beans,2015,Alberta,0,0,0,0
Dry White Beans,2016,Alberta,0,0,0,0
Dry White Beans,2017,Alberta,0,0,0,0
Dry White Beans,2018,Alberta,0,0,0,0
Dry White Beans,2019,Alberta,0,0,0,0
Dry White Beans,2020,Alberta,0,0,0,0
Dry White Beans,2021,Alberta,0,0,0,0
Dry White Beans,2022,Alberta,0,0,0,0
Dry White Beans,2023,Alberta,0,0,0,0
Coloured Beans,2014,Alberta,16.2,16.2,3,48
Coloured Beans,2015,Alberta,22.3,21.4,3.1,66
Coloured Beans,2016,Alberta,16.1,15.3,3.1,48
Coloured Beans,2017,Alberta,23,23,2.7,61.5
Coloured Beans,2018,Alberta,20.2,20.2,3,61.5
Coloured Beans,2019,Alberta,25.3,24.6,3,72.8
Coloured Beans,2020,Alberta,23.1,21.7,3,65.3
Coloured Beans,2021,Alberta,22.2,22,3.3,73
Coloured Beans,2022,Alberta,29.7,29.5,3.2,95.8
Coloured Beans,2023,Alberta,20.2,17.8,2.8,49.7
Lentils,2014,Alberta,40.4,38.4,2.9,110.3
Lentils,2015,Alberta,44.5,43.7,1.9,84.4
Lentils,2016,Alberta,115.4,114.5,1.5,176.4
Lentils,2017,Alberta,187.6,185.4,2.4,451.8
Lentils,2018,Alberta,196.3,195.5,1.4,264.4
Lentils,2019,Alberta,170,169.8,1.2,199.6
Lentils,2020,Alberta,156.9,151.4,1.1,167.6
Lentils,2021,Alberta,171.1,169.6,2.2,370.5
Lentils,2022,Alberta,179.1,178,1,169.6
Lentils,2023,Alberta,222.7,222.3,1.5,334.2
Chickpeas,2014,Alberta,4.2,4.2,1.7,7.1
Chickpeas,2015,Alberta,4.1,4.1,2,8
Chickpeas,2016,Alberta,3.5,3.5,1.9,6.5
Chickpeas,2017,Alberta,3.7,3.7,1.9,7
Chickpeas,2018,Alberta,3.4,3.4,1.8,6.1
Chickpeas,2019,Alberta,29.7,29.7,1.2,34.6
Chickpeas,2020,Alberta,24.3,24.1,1.6,37.7
Chickpeas,2021,Alberta,0,0,0,0
Chickpeas,2022,Alberta,0,0,0,0
Chickpeas,2023,Alberta,0,0,0,0
Mustard Seed,2014,Alberta,38.5,37.2,1,37.2
Mustard Seed,2015,Alberta,54.6,53.8,1.1,59.4
Mustard Seed,2016,Alberta,36.4,35.5,0.9,31.9
Mustard Seed,2017,Alberta,54.5,53.3,1.4,73.3
Mustard Seed,2018,Alberta,38.4,37.6,0.7,27.1
Mustard Seed,2019,Alberta,49.4,47.8,0.8,36.7
Mustard Seed,2020,Alberta,42.2,40.4,0.7,27.6
Mustard Seed,2021,Alberta,32.4,32.3,1.1,36.5
Mustard Seed,2022,Alberta,31.6,30.4,0.5,14.7
Mustard Seed,2023,Alberta,58.1,57.3,0.8,45.9
Sunflower Seed,2014,Alberta,0,0,0,0
Sunflower Seed,2015,Alberta,0,0,0,0
Sunflower Seed,2016,Alberta,0,0,0,0
Sunflower Seed,2017,Alberta,0,0,0,0
Sunflower Seed,2018,Alberta,0,0,0,0
Sunflower Seed,2019,Alberta,0,0,0,0
Sunflower Seed,2020,Alberta,1.7,1.7,2.4,4
Sunflower Seed,2021,Alberta,0,0,0,0
Sunflower Seed,2022,Alberta,0,0,0,0
Sunflower Seed,2023,Alberta,0,0,0,0
Canary Seed,2014,Alberta,0,0,0,0
Canary Seed,2015,Alberta,0,0,0,0
Canary Seed,2016,Alberta,0,0,0,0
Canary Seed,2017,Alberta,0,0,0,0
Canary Seed,2018,Alberta,0,0,0,0
Canary Seed,2019,Alberta,0,0,0,0
Canary Seed,2020,Alberta,0.7,0.7,1.3,0.9
Canary Seed,2021,Alberta,0,0,0,0
Canary Seed,2022,Alberta,0,0,0,0
Canary Seed,2023,Alberta,0,0,0,0
Winter Wheat,2014,Quebec,9.5,7.2,3.4,24.8
Winter Wheat,2015,Quebec,9,6,3.4,20.5
Winter Wheat,2016,Quebec,11.5,9.5,3.8,36.5
Winter Wheat,2017,Quebec,19.8,13,4.1,53
Winter Wheat,2018,Quebec,17,15.5,3.7,57
Winter Wheat,2019,Quebec,20.5,18.3,3.8,68.7
Winter Wheat,2020,Quebec,18.4,8.3,3.4,28
Winter Wheat,2021,Quebec,20.7,13,2.4,31.7
Winter Wheat,2022,Quebec,17.2,16.6,4.6,76.5
Winter Wheat,2023,Quebec,28,21.5,4.3,93.5
Spring Wheat,2014,Quebec,52,51.5,3.1,158.5
Spring Wheat,2015,Quebec,59.9,59.5,3.1,184
Spring Wheat,2016,Quebec,72,71.5,3.4,245
Spring Wheat,2017,Quebec,76,74.8,3.4,257
Spring Wheat,2018,Quebec,77,76,3.1,238
Spring Wheat,2019,Quebec,74.9,73.9,3,221.4
Spring Wheat,2020,Quebec,73.2,72.8,3.4,248.4
Spring Wheat,2021,Quebec,97.6,93.8,2.3,216.9
Spring Wheat,2022,Quebec,74.5,74,3.4,252.7
Spring Wheat,2023,Quebec,64.2,64.1,3.8,243.2
CW Red Spring,2014,Quebec,0,0,0,0
CW Red Spring,2015,Quebec,0,0,0,0
CW Red Spring,2016,Quebec,0,0,0,0
CW Red Spring,2017,Quebec,0,0,0,0
CW Red Spring,2018,Quebec,0,0,0,0
CW Red Spring,2019,Quebec,0,0,0,0
CW Red Spring,2020,Quebec,0,0,0,0
CW Red Spring,2021,Quebec,0,0,0,0
CW Red Spring,2022,Quebec,0,0,0,0
CW Red Spring,2023,Quebec,0,0,0,0
Canada Prairie Spring,2014,Quebec,0,0,0,0
Canada Prairie Spring,2015,Quebec,0,0,0,0
Canada Prairie Spring,2016,Quebec,0,0,0,0
Canada Prairie Spring,2017,Quebec,0,0,0,0
Canada Prairie Spring,2018,Quebec,0,0,0,0
Canada Prairie Spring,2019,Quebec,4.6,4.5,3.8,17.1
Canada Prairie Spring,2020,Quebec,0,0,0,0
Canada Prairie Spring,2021,Quebec,0,0,0,0
Canada Prairie Spring,2022,Quebec,0,0,0,0
Canada Prairie Spring,2023,Quebec,0,0,0,0
Northern Hard Red,2014,Quebec,0,0,0,0
Northern Hard Red,2015,Quebec,0,0,0,0
Northern Hard Red,2016,Quebec,0,0,0,0
Northern Hard Red,2017,Quebec,0,0,0,0
Northern Hard Red,2018,Quebec,0,0,0,0
Northern Hard Red,2019,Quebec,1.7,1.7,2.9,4.9
Northern Hard Red,2020,Quebec,0,0,0,0
Northern Hard Red,2021,Quebec,0,0,0,0
Northern Hard Red,2022,Quebec,0,0,0,0
Northern Hard Red,2023,Quebec,0,0,0,0
CW Extra Strong,2014,Quebec,0,0,0,0
CW Extra Strong,2015,Quebec,0,0,0,0
CW Extra Strong,2016,Quebec,0,0,0,0
CW Extra Strong,2017,Quebec,0,0,0,0
CW Extra Strong,2018,Quebec,0,0,0,0
CW Extra Strong,2019,Quebec,0,0,0,0
CW Extra Strong,2020,Quebec,0,0,0,0
CW Extra Strong,2021,Quebec,0,0,0,0
CW Extra Strong,2022,Quebec,0,0,0,0
CW Extra Strong,2023,Quebec,0,0,0,0
CW Soft White Spring,2014,Quebec,0,0,0,0
CW Soft White Spring,2015,Quebec,0,0,0,0
CW Soft White Spring,2016,Quebec,0,0,0,0
CW Soft White Spring,2017,Quebec,0,0,0,0
CW Soft White Spring,2018,Quebec,0,0,0,0
CW Soft White Spring,2019,Quebec,1.3,1.3,2.3,3
CW Soft White Spring,2020,Quebec,0,0,0,0
CW Soft White Spring,2021,Quebec,0,0,0,0
CW Soft White Spring,2022,Quebec,0,0,0,0
CW Soft White Spring,2023,Quebec,0,0,0,0
Other Spring Wheat,2014,Quebec,0,0,0,0
Other Spring Wheat,2015,Quebec,0,0,0,0
Other Spring Wheat,2016,Quebec,0,0,0,0
Other Spring Wheat,2017,Quebec,0,0,0,0
Other Spring Wheat,2018,Quebec,0,0,0,0
Other Spring Wheat,2019,Quebec,66.6,65.7,2.9,193.8
Other Spring Wheat,2020,Quebec,47.5,47.1,3.4,160.8
Other Spring Wheat,2021,Quebec,65.1,61.9,2.3,142.8
Other Spring Wheat,2022,Quebec,43.2,42.8,3.3,139.3
Other Spring Wheat,2023,Quebec,30.1,30.1,3.8,114.7
Durum,2014,Quebec,0,0,0,0
Durum,2015,Quebec,0,0,0,0
Durum,2016,Quebec,0,0,0,0
Durum,2017,Quebec,0,0,0,0
Durum,2018,Quebec,0,0,0,0
Durum,2019,Quebec,0,0,0,0
Durum,2020,Quebec,0,0,0,0
Durum,2021,Quebec,0,0,0,0
Durum,2022,Quebec,0,0,0,0
Durum,2023,Quebec,0,0,0,0
Oats,2014,Quebec,84.3,78.7,2.4,189
Oats,2015,Quebec,86.6,76.8,2.5,191.5
Oats,2016,Quebec,100,96.8,2.6,249
Oats,2017,Quebec,84.5,78.9,2.6,204.4
Oats,2018,Quebec,60,58,2.6,149
Oats,2019,Quebec,74.1,70.4,2.4,167.1
Oats,2020,Quebec,73.5,71.1,2.7,189.6
Oats,2021,Quebec,82.6,79.5,2.2,173.2
Oats,2022,Quebec,68.4,66,3,201.3
Oats,2023,Quebec,79.2,76.5,2.7,210.3
Barley,2014,Quebec,71.5,70.8,3.1,221
Barley,2015,Quebec,55.7,53.5,3.1,163.5
Barley,2016,Quebec,51,50.1,3.4,168
Barley,2017,Quebec,52,51.5,3.4,175
Barley,2018,Quebec,53,51.5,3.3,171
Barley,2019,Quebec,54.6,53.9,2.9,157
Barley,2020,Quebec,49.5,48.3,3.2,156.6
Barley,2021,Quebec,51,49.9,2.5,125.9
Barley,2022,Quebec,37.3,36.9,3.6,132.6
Barley,2023,Quebec,32.2,31.4,3.4,105.3
Rye,2014,Quebec,0,0,0,0
Rye,2015,Quebec,4,2.5,2.4,6
Rye,2016,Quebec,7,5.5,2.5,14
Rye,2017,Quebec,15.6,8.2,3.1,25.3
Rye,2018,Quebec,12,6,2.5,15
Rye,2019,Quebec,13.4,6.5,2.8,17.9
Rye,2020,Quebec,16.2,8.2,2.6,21
Rye,2021,Quebec,22.4,10.3,2.5,25.8
Rye,2022,Quebec,19.3,12.2,3.4,41.9
Rye,2023,Quebec,31.1,16.8,3.6,60.7
Mixed Grains,2014,Quebec,21.3,18.8,2.4,45.3
Mixed Grains,2015,Quebec,16.5,15.5,2.8,43.5
Mixed Grains,2016,Quebec,14.5,13.5,2.6,35
Mixed Grains,2017,Quebec,16.2,15.1,2.6,39.8
Mixed Grains,2018,Quebec,13.5,13,2.7,35.5
Mixed Grains,2019,Quebec,11.7,11,2.9,32.2
Mixed Grains,2020,Quebec,12.8,11.6,2.7,31.5
Mixed Grains,2021,Quebec,12.3,9.4,2.2,21
Mixed Grains,2022,Quebec,12.9,12.7,3.3,41.7
Mixed Grains,2023,Quebec,7.8,7.5,2.8,21.2
Corn,2014,Quebec,420.9,416.7,9.1,3775
Corn,2015,Quebec,368.3,366.2,8.6,3140.2
Corn,2016,Quebec,372.3,371.3,10.2,3787.8
Corn,2017,Quebec,396.8,394.6,10.4,4121.3
Corn,2018,Quebec,380,378,10,3780.2
Corn,2019,Quebec,385.7,383.4,9.4,3619.6
Corn,2020,Quebec,382.5,379.6,8.9,3369
Corn,2021,Quebec,360.5,359.3,9.1,3264.1
Corn,2022,Quebec,371.7,370.2,9.6,3545.1
Corn,2023,Quebec,361.1,358.4,9.9,3560.9
Flaxseed,2014,Quebec,0,0,0,0
Flaxseed,2015,Quebec,0,0,0,0
Flaxseed,2016,Quebec,0,0,0,0
Flaxseed,2017,Quebec,0,0,0,0
Flaxseed,2018,Quebec,0,0,0,0
Flaxseed,2019,Quebec,0,0,0,0
Flaxseed,2020,Quebec,1.5,0.5,1,0.5
Flaxseed,2021,Quebec,0,0,0,0
Flaxseed,2022,Quebec,0,0,0,0
Flaxseed,2023,Quebec,0.3,0.3,1.3,0.4
Canola,2014,Quebec,15.5,15.2,2.2,33.5
Canola,2015,Quebec,14,13,2.1,27.5
Canola,2016,Quebec,12,11.7,2.2,26
Canola,2017,Quebec,13.8,13.8,2.4,32.7
Canola,2018,Quebec,15,14.7,2.5,36.5
Canola,2019,Quebec,14.7,14.3,2.5,35.1
Canola,2020,Quebec,12.1,11.6,2.2,25.7
Canola,2021,Quebec,11.2,11.1,2.2,24
Canola,2022,Quebec,12.8,12.5,2.4,29.9
Canola,2023,Quebec,16.6,16.6,2.3,38.7
Soybeans,2014,Quebec,295.5,293.7,2.9,847
Soybeans,2015,Quebec,358.1,356.1,2.5,898
Soybeans,2016,Quebec,344,342,3.2,1088.1
Soybeans,2017,Quebec,351.7,348.7,3.2,1129.4
Soybeans,2018,Quebec,398,396,2.8,1115
Soybeans,2019,Quebec,370.3,369.4,3.2,1164
Soybeans,2020,Quebec,366.7,365.5,3.1,1146
Soybeans,2021,Quebec,358.3,356.5,3.3,1159.7
Soybeans,2022,Quebec,380.9,379.7,3,1146.9
Soybeans,2023,Quebec,386.8,382.9,2.9,1126.4
Dry Peas,2014,Quebec,0,0,0,0
Dry Peas,2015,Quebec,0,0,0,0
Dry Peas,2016,Quebec,0,0,0,0
Dry Peas,2017,Quebec,0,0,0,0
Dry Peas,2018,Quebec,0,0,0,0
Dry Peas,2019,Quebec,1.4,1.2,2.8,3.4
Dry Peas,2020,Quebec,2.2,2,2.1,4.2
Dry Peas,2021,Quebec,3.8,3.8,2.4,9.3
Dry Peas,2022,Quebec,0,0,0,0
Dry Peas,2023,Quebec,2.4,2.4,2.6,6.3
Dry White Beans,2014,Quebec,0,0,0,0
Dry White Beans,2015,Quebec,0,0,0,0
Dry White Beans,2016,Quebec,0,0,0,0
Dry White Beans,2017,Quebec,0,0,0,0
Dry White Beans,2018,Quebec,0,0,0,0
Dry White Beans,2019,Quebec,0,0,0,0
Dry White Beans,2020,Quebec,0,0,0,0
Dry White Beans,2021,Quebec,0,0,0,0
Dry White Beans,2022,Quebec,0,0,0,0
Dry White Beans,2023,Quebec,0,0,0,0
Coloured Beans,2014,Quebec,2,2,1.7,3.3
Coloured Beans,2015,Quebec,2.7,2.7,1.7,4.7
Coloured Beans,2016,Quebec,3.1,3.1,1.6,5
Coloured Beans,2017,Quebec,3,3,1.7,5
Coloured Beans,2018,Quebec,4.9,4.1,2.3,9.6
Coloured Beans,2019,Quebec,4.7,4.5,2.5,11.1
Coloured Beans,2020,Quebec,3.5,3.5,2.2,7.7
Coloured Beans,2021,Quebec,2.8,2.5,1.8,4.6
Coloured Beans,2022,Quebec,3.2,3.2,2,6.4
Coloured Beans,2023,Quebec,1.8,1.8,2.1,3.7
Lentils,2014,Quebec,0,0,0,0
Lentils,2015,Quebec,0,0,0,0
Lentils,2016,Quebec,0,0,0,0
Lentils,2017,Quebec,0,0,0,0
Lentils,2018,Quebec,0,0,0,0
Lentils,2019,Quebec,0,0,0,0
Lentils,2020,Quebec,0,0,0,0
Lentils,2021,Quebec,0,0,0,0
Lentils,2022,Quebec,0,0,0,0
Lentils,2023,Quebec,0,0,0,0
Mustard Seed,2014,Quebec,0,0,0,0
Mustard Seed,2015,Quebec,0,0,0,0
Mustard Seed,2016,Quebec,0,0,0,0
Mustard Seed,2017,Quebec,0,0,0,0
Mustard Seed,2018,Quebec,0,0,0,0
Mustard Seed,2019,Quebec,0,0,0,0
Mustard Seed,2020,Quebec,0,0,0,0
Mustard Seed,2021,Quebec,0,0,0,0
Mustard Seed,2022,Quebec,0,0,0,0
Mustard Seed,2023,Quebec,0,0,0,0
Sunflower Seed,2014,Quebec,0,0,0,0
Sunflower Seed,2015,Quebec,0,0,0,0
Sunflower Seed,2016,Quebec,0,0,0,0
Sunflower Seed,2017,Quebec,0,0,0,0
Sunflower Seed,2018,Quebec,0,0,0,0
Sunflower Seed,2019,Quebec,0,0,0,0
Sunflower Seed,2020,Quebec,0,0,0,0
Sunflower Seed,2021,Quebec,0,0,0,0
Sunflower Seed,2022,Quebec,0,0,0,0
Sunflower Seed,2023,Quebec,0,0,0,0
Canary Seed,2014,Quebec,0,0,0,0
Canary Seed,2015,Quebec,0,0,0,0
Canary Seed,2016,Quebec,0,0,0,0
Canary Seed,2017,Quebec,0,0,0,0
Canary Seed,2018,Quebec,0,0,0,0
Canary Seed,2019,Quebec,0,0,0,0
Canary Seed,2020,Quebec,0,0,0,0
Canary Seed,2021,Quebec,0,0,0,0
Canary Seed,2022,Quebec,0,0,0,0
Canary Seed,2023,Quebec,0,0,0,0
Winter Wheat,2014,Prince Edward Island,1.4,1.2,3.3,3.9
Winter Wheat,2015,Prince Edward Island,2.6,2,3.3,6.5
Winter Wheat,2016,Prince Edward Island,3.2,2.4,3.2,7.6
Winter Wheat,2017,Prince Edward Island,3.8,2.9,3.9,11.4
Winter Wheat,2018,Prince Edward Island,4,3.6,4.1,14.6
Winter Wheat,2019,Prince Edward Island,5.3,4.9,4.4,21.8
Winter Wheat,2020,Prince Edward Island,5.6,2.8,4.1,11.5
Winter Wheat,2021,Prince Edward Island,5.9,3.8,4.3,16.2
